run,benchmark,prefetcher,stage,config,pf_level,memory,simSeconds,simTicks,simInsts,simOps,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_demand_miss_latency,l1d_demand_avg_miss_latency,l2_demand_miss_latency,l2_demand_avg_miss_latency,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l1d_prefetcher_accuracy,l1d_prefetcher_coverage,l1d_pf_late,l1d_pf_hit_in_cache,l1d_pf_hit_in_mshr,l1d_pf_hit_in_wb,l1d_pf_identified,l1d_pf_buffer_hit,l1d_pf_in_cache,l1d_pf_removed_demand,l1d_pf_removed_full,l1d_pf_span_page,l1d_pf_useful_span_page,l2_pf_issued,l2_pf_useful,l2_pf_unused,l2_prefetcher_accuracy,l2_prefetcher_coverage,l2_pf_late,l2_pf_hit_in_cache,l2_pf_hit_in_mshr,l2_pf_hit_in_wb,l2_pf_identified,l2_pf_buffer_hit,l2_pf_in_cache,l2_pf_removed_demand,l2_pf_removed_full,l2_pf_span_page,l2_pf_useful_span_page,l1d_blocked_cycles_no_mshrs,l1d_blocked_causes_no_mshrs,l1d_avg_blocked_no_mshrs,l2_blocked_cycles_no_mshrs,l2_blocked_causes_no_mshrs,l2_avg_blocked_no_mshrs,l1d_demand_mshr_hits,l1d_demand_mshr_misses,l1d_demand_mshr_miss_rate,l1d_demand_avg_mshr_miss_latency,l2_demand_mshr_hits,l2_demand_mshr_misses,l2_demand_mshr_miss_rate,l2_demand_avg_mshr_miss_latency,mem_avg_rdq_len,mem_avg_wrq_len,mem_num_rd_retry,mem_num_wr_retry,mem_avg_read_bw_sys,mem_avg_write_bw_sys,dram_bw_read_total,dram_bw_write_total,dram_bw_total,dram_peak_bw,dram_avg_rd_bw,dram_avg_wr_bw,dram_avg_q_lat,dram_avg_bus_lat,dram_avg_mem_acc_lat,l1d_prefetcher_read_bytes,l1d_prefetcher_read_rate,l1d_prefetcher_read_accesses,l1d_prefetcher_read_avg_lat,l2_prefetcher_read_bytes,l2_prefetcher_read_rate,l2_prefetcher_read_accesses,l2_prefetcher_read_avg_lat,load_to_use_samples,load_to_use_mean,load_to_use_stdev,load_to_use_overflows,load_to_use_min,load_to_use_max,added_loads_and_stores
bfs_imp_dist4_l2_ddr4_2x,bfs,imp,stage1,dist4,l2,ddr4_2x,0.022034,22034098512.0,30729211.0,31124590.0,66168464.0,0.464409,6935868.0,11405851.0,1346276.0,3529169.0,221566943589.0,31945.092321,90978248625.0,67577.709641,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1255627.0,266135.0,462189.0,0.211954,0.170654,474378.0,340961.0,133397.0,20.0,1423635.0,39797.0,0.0,19150.0,3075.0,3958413.0,0.0,794754.0,75127.0,10.578807,1155958.0,51843.0,22.297282,3406926.0,3528942.0,0.309398,30704.835691,52909.0,1293367.0,0.366479,68189.717017,3.6550000000000002,57.085,0.0,0.0,6025909702.077854,462332143.7204256,6025906798.0,462332143.0,6488238941.0,38414.0,5994.270014,461.318442,22338.345,3332.0,39830.345,nan,nan,nan,nan,49727296.0,2256833696.7776556,780250.0,37341.95,8774099.0,60.279502,98.761061,68955.0,2.0,1710.0,12781588.0
bfs_imp_dist64_l1d_ddr4_1x,bfs,imp,stage1,dist64,l1d,ddr4_1x,0.023393,23393219031.0,30729211.0,31124590.0,70249907.0,0.437428,6169647.0,11507814.0,2094566.0,5922664.0,249268319760.0,40402.363338,171096539095.0,81685.914454,4964319.0,312862.0,2227696.0,0.063022,0.090242,2195965.0,576162.0,1619316.0,487.0,15025477.0,1664030.0,0.0,1381706.0,544255.0,8673307.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5455296.0,768953.0,7.094447,0.0,0.0,nan,3015569.0,3154078.0,0.274081,36623.576383,nan,2094566.0,0.353653,81352.914454,6.75,57.54,0.0,0.0,5730390837.719165,436527182.79034865,5730388102.0,436527183.0,6166915285.0,19207.0,5707.978873,436.20709,36795.7,3332.0,54287.7,58005312.0,2479578031.6994033,909769.0,54142.61,nan,nan,nan,nan,8774099.0,65.047784,108.250066,165583.0,2.0,1844.0,12984811.0
bfs_imp_dist64_l1d_ddr4_2x,bfs,imp,stage1,dist64,l1d,ddr4_2x,0.020727,20726640279.0,30729211.0,31124590.0,62242163.0,0.493705,6022529.0,11419388.0,2121072.0,5950664.0,210033659102.0,34874.66131,136932670737.0,64558.23788,4956620.0,321255.0,2255403.0,0.064813,0.092565,2155515.0,573941.0,1581109.0,465.0,14545947.0,1541502.0,0.0,1314201.0,507210.0,8583785.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3709948.0,705662.0,5.257401,0.0,0.0,nan,2873203.0,3149326.0,0.275788,30709.928348,nan,2121072.0,0.356443,64225.23788,3.37,57.150000000000006,0.0,0.0,6549477878.358271,492947813.1751002,6549474790.0,492947813.0,7042422604.0,38414.0,6510.500408,491.64784399999996,19664.925,3332.0,37156.925,59661056.0,2878472111.104659,937653.0,35543.53,nan,nan,nan,nan,8774099.0,56.904085,94.276137,58621.0,2.0,1693.0,12845213.0
bfs_imp_dist64_l2_ddr4_1x,bfs,imp,stage1,dist64,l2,ddr4_1x,0.02562,25619891130.0,30729211.0,31124590.0,76936610.0,0.39941,7053475.0,11488481.0,1351155.0,3528869.0,272377382949.0,38616.055625,115056109476.0,85153.893873,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1243469.0,260786.0,458053.0,0.209725,0.167194,472458.0,335977.0,136468.0,13.0,1443105.0,54624.0,0.0,26406.0,10214.0,3958455.0,0.0,1129633.0,88014.0,12.834697,1853189.0,74705.0,24.80676,3524833.0,3528642.0,0.307146,37718.071575,52160.0,1298995.0,0.368105,85737.935046,7.37,57.94,0.0,0.0,5170999647.413412,397661018.4759985,5170997149.0,397661018.0,5568658168.0,19207.0,5153.753048,397.438691,41178.67,3332.0,58670.67,nan,nan,nan,nan,49158272.0,1918754133.2850308,769912.0,58367.88,8774099.0,71.752679,117.217192,239250.0,2.0,1927.0,12888279.0
bfs_imp_dist64_l2_ddr4_2x,bfs,imp,stage1,dist64,l2,ddr4_2x,0.022034,22034098512.0,30729211.0,31124590.0,66168464.0,0.464409,6935868.0,11405851.0,1346276.0,3529169.0,221566943589.0,31945.092321,90978248625.0,67577.709641,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1255627.0,266135.0,462189.0,0.211954,0.170654,474378.0,340961.0,133397.0,20.0,1423635.0,39797.0,0.0,19150.0,3075.0,3958413.0,0.0,794754.0,75127.0,10.578807,1155958.0,51843.0,22.297282,3406926.0,3528942.0,0.309398,30704.835691,52909.0,1293367.0,0.366479,68189.717017,3.6550000000000002,57.085,0.0,0.0,6025909702.077854,462332143.7204256,6025906798.0,462332143.0,6488238941.0,38414.0,5994.270014,461.318442,22338.345,3332.0,39830.345,nan,nan,nan,nan,49727296.0,2256833696.7776556,780250.0,37341.95,8774099.0,60.279502,98.761061,68955.0,2.0,1710.0,12781588.0
bfs_imp_dist8_l1d_ddr4_1x,bfs,imp,stage1,dist8,l1d,ddr4_1x,0.023393,23393219031.0,30729211.0,31124590.0,70249907.0,0.437428,6169647.0,11507814.0,2094566.0,5922664.0,249268319760.0,40402.363338,171096539095.0,81685.914454,4964319.0,312862.0,2227696.0,0.063022,0.090242,2195965.0,576162.0,1619316.0,487.0,15025477.0,1664030.0,0.0,1381706.0,544255.0,8673307.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5455296.0,768953.0,7.094447,0.0,0.0,nan,3015569.0,3154078.0,0.274081,36623.576383,nan,2094566.0,0.353653,81352.914454,6.75,57.54,0.0,0.0,5730390837.719165,436527182.79034865,5730388102.0,436527183.0,6166915285.0,19207.0,5707.978873,436.20709,36795.7,3332.0,54287.7,58005312.0,2479578031.6994033,909769.0,54142.61,nan,nan,nan,nan,8774099.0,65.047784,108.250066,165583.0,2.0,1844.0,12984811.0
bfs_imp_dist8_l1d_ddr4_2x,bfs,imp,stage1,dist8,l1d,ddr4_2x,0.020727,20726640279.0,30729211.0,31124590.0,62242163.0,0.493705,6022529.0,11419388.0,2121072.0,5950664.0,210033659102.0,34874.66131,136932670737.0,64558.23788,4956620.0,321255.0,2255403.0,0.064813,0.092565,2155515.0,573941.0,1581109.0,465.0,14545947.0,1541502.0,0.0,1314201.0,507210.0,8583785.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3709948.0,705662.0,5.257401,0.0,0.0,nan,2873203.0,3149326.0,0.275788,30709.928348,nan,2121072.0,0.356443,64225.23788,3.37,57.150000000000006,0.0,0.0,6549477878.358271,492947813.1751002,6549474790.0,492947813.0,7042422604.0,38414.0,6510.500408,491.64784399999996,19664.925,3332.0,37156.925,59661056.0,2878472111.104659,937653.0,35543.53,nan,nan,nan,nan,8774099.0,56.904085,94.276137,58621.0,2.0,1693.0,12845213.0
bfs_imp_dist8_l2_ddr4_1x,bfs,imp,stage1,dist8,l2,ddr4_1x,0.02562,25619891130.0,30729211.0,31124590.0,76936610.0,0.39941,7053475.0,11488481.0,1351155.0,3528869.0,272377382949.0,38616.055625,115056109476.0,85153.893873,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1243469.0,260786.0,458053.0,0.209725,0.167194,472458.0,335977.0,136468.0,13.0,1443105.0,54624.0,0.0,26406.0,10214.0,3958455.0,0.0,1129633.0,88014.0,12.834697,1853189.0,74705.0,24.80676,3524833.0,3528642.0,0.307146,37718.071575,52160.0,1298995.0,0.368105,85737.935046,7.37,57.94,0.0,0.0,5170999647.413412,397661018.4759985,5170997149.0,397661018.0,5568658168.0,19207.0,5153.753048,397.438691,41178.67,3332.0,58670.67,nan,nan,nan,nan,49158272.0,1918754133.2850308,769912.0,58367.88,8774099.0,71.752679,117.217192,239250.0,2.0,1927.0,12888279.0
bfs_imp_dist8_l2_ddr4_2x,bfs,imp,stage1,dist8,l2,ddr4_2x,0.022034,22034098512.0,30729211.0,31124590.0,66168464.0,0.464409,6935868.0,11405851.0,1346276.0,3529169.0,221566943589.0,31945.092321,90978248625.0,67577.709641,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1255627.0,266135.0,462189.0,0.211954,0.170654,474378.0,340961.0,133397.0,20.0,1423635.0,39797.0,0.0,19150.0,3075.0,3958413.0,0.0,794754.0,75127.0,10.578807,1155958.0,51843.0,22.297282,3406926.0,3528942.0,0.309398,30704.835691,52909.0,1293367.0,0.366479,68189.717017,3.6550000000000002,57.085,0.0,0.0,6025909702.077854,462332143.7204256,6025906798.0,462332143.0,6488238941.0,38414.0,5994.270014,461.318442,22338.345,3332.0,39830.345,nan,nan,nan,nan,49727296.0,2256833696.7776556,780250.0,37341.95,8774099.0,60.279502,98.761061,68955.0,2.0,1710.0,12781588.0
bfs_imp_ipd16_l1d_ddr4_1x,bfs,imp,stage1,ipd16,l1d,ddr4_1x,0.023393,23393219031.0,30729211.0,31124590.0,70249907.0,0.437428,6169647.0,11507814.0,2094566.0,5922664.0,249268319760.0,40402.363338,171096539095.0,81685.914454,4964319.0,312862.0,2227696.0,0.063022,0.090242,2195965.0,576162.0,1619316.0,487.0,15025477.0,1664030.0,0.0,1381706.0,544255.0,8673307.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5455296.0,768953.0,7.094447,0.0,0.0,nan,3015569.0,3154078.0,0.274081,36623.576383,nan,2094566.0,0.353653,81352.914454,6.75,57.54,0.0,0.0,5730390837.719165,436527182.79034865,5730388102.0,436527183.0,6166915285.0,19207.0,5707.978873,436.20709,36795.7,3332.0,54287.7,58005312.0,2479578031.6994033,909769.0,54142.61,nan,nan,nan,nan,8774099.0,65.047784,108.250066,165583.0,2.0,1844.0,12984811.0
bfs_imp_ipd16_l1d_ddr4_2x,bfs,imp,stage1,ipd16,l1d,ddr4_2x,0.020727,20726640279.0,30729211.0,31124590.0,62242163.0,0.493705,6022529.0,11419388.0,2121072.0,5950664.0,210033659102.0,34874.66131,136932670737.0,64558.23788,4956620.0,321255.0,2255403.0,0.064813,0.092565,2155515.0,573941.0,1581109.0,465.0,14545947.0,1541502.0,0.0,1314201.0,507210.0,8583785.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3709948.0,705662.0,5.257401,0.0,0.0,nan,2873203.0,3149326.0,0.275788,30709.928348,nan,2121072.0,0.356443,64225.23788,3.37,57.150000000000006,0.0,0.0,6549477878.358271,492947813.1751002,6549474790.0,492947813.0,7042422604.0,38414.0,6510.500408,491.64784399999996,19664.925,3332.0,37156.925,59661056.0,2878472111.104659,937653.0,35543.53,nan,nan,nan,nan,8774099.0,56.904085,94.276137,58621.0,2.0,1693.0,12845213.0
bfs_imp_ipd16_l2_ddr4_1x,bfs,imp,stage1,ipd16,l2,ddr4_1x,0.02562,25619891130.0,30729211.0,31124590.0,76936610.0,0.39941,7053475.0,11488481.0,1351155.0,3528869.0,272377382949.0,38616.055625,115056109476.0,85153.893873,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1243469.0,260786.0,458053.0,0.209725,0.167194,472458.0,335977.0,136468.0,13.0,1443105.0,54624.0,0.0,26406.0,10214.0,3958455.0,0.0,1129633.0,88014.0,12.834697,1853189.0,74705.0,24.80676,3524833.0,3528642.0,0.307146,37718.071575,52160.0,1298995.0,0.368105,85737.935046,7.37,57.94,0.0,0.0,5170999647.413412,397661018.4759985,5170997149.0,397661018.0,5568658168.0,19207.0,5153.753048,397.438691,41178.67,3332.0,58670.67,nan,nan,nan,nan,49158272.0,1918754133.2850308,769912.0,58367.88,8774099.0,71.752679,117.217192,239250.0,2.0,1927.0,12888279.0
bfs_imp_ipd16_l2_ddr4_2x,bfs,imp,stage1,ipd16,l2,ddr4_2x,0.022034,22034098512.0,30729211.0,31124590.0,66168464.0,0.464409,6935868.0,11405851.0,1346276.0,3529169.0,221566943589.0,31945.092321,90978248625.0,67577.709641,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1255627.0,266135.0,462189.0,0.211954,0.170654,474378.0,340961.0,133397.0,20.0,1423635.0,39797.0,0.0,19150.0,3075.0,3958413.0,0.0,794754.0,75127.0,10.578807,1155958.0,51843.0,22.297282,3406926.0,3528942.0,0.309398,30704.835691,52909.0,1293367.0,0.366479,68189.717017,3.6550000000000002,57.085,0.0,0.0,6025909702.077854,462332143.7204256,6025906798.0,462332143.0,6488238941.0,38414.0,5994.270014,461.318442,22338.345,3332.0,39830.345,nan,nan,nan,nan,49727296.0,2256833696.7776556,780250.0,37341.95,8774099.0,60.279502,98.761061,68955.0,2.0,1710.0,12781588.0
bfs_imp_ipd2_l1d_ddr4_1x,bfs,imp,stage1,ipd2,l1d,ddr4_1x,0.023393,23393219031.0,30729211.0,31124590.0,70249907.0,0.437428,6169647.0,11507814.0,2094566.0,5922664.0,249268319760.0,40402.363338,171096539095.0,81685.914454,4964319.0,312862.0,2227696.0,0.063022,0.090242,2195965.0,576162.0,1619316.0,487.0,15025477.0,1664030.0,0.0,1381706.0,544255.0,8673307.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5455296.0,768953.0,7.094447,0.0,0.0,nan,3015569.0,3154078.0,0.274081,36623.576383,nan,2094566.0,0.353653,81352.914454,6.75,57.54,0.0,0.0,5730390837.719165,436527182.79034865,5730388102.0,436527183.0,6166915285.0,19207.0,5707.978873,436.20709,36795.7,3332.0,54287.7,58005312.0,2479578031.6994033,909769.0,54142.61,nan,nan,nan,nan,8774099.0,65.047784,108.250066,165583.0,2.0,1844.0,12984811.0
bfs_imp_ipd2_l1d_ddr4_2x,bfs,imp,stage1,ipd2,l1d,ddr4_2x,0.020727,20726640279.0,30729211.0,31124590.0,62242163.0,0.493705,6022529.0,11419388.0,2121072.0,5950664.0,210033659102.0,34874.66131,136932670737.0,64558.23788,4956620.0,321255.0,2255403.0,0.064813,0.092565,2155515.0,573941.0,1581109.0,465.0,14545947.0,1541502.0,0.0,1314201.0,507210.0,8583785.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3709948.0,705662.0,5.257401,0.0,0.0,nan,2873203.0,3149326.0,0.275788,30709.928348,nan,2121072.0,0.356443,64225.23788,3.37,57.150000000000006,0.0,0.0,6549477878.358271,492947813.1751002,6549474790.0,492947813.0,7042422604.0,38414.0,6510.500408,491.64784399999996,19664.925,3332.0,37156.925,59661056.0,2878472111.104659,937653.0,35543.53,nan,nan,nan,nan,8774099.0,56.904085,94.276137,58621.0,2.0,1693.0,12845213.0
bfs_imp_ipd2_l2_ddr4_1x,bfs,imp,stage1,ipd2,l2,ddr4_1x,0.02562,25619891130.0,30729211.0,31124590.0,76936610.0,0.39941,7053475.0,11488481.0,1351155.0,3528869.0,272377382949.0,38616.055625,115056109476.0,85153.893873,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1243469.0,260786.0,458053.0,0.209725,0.167194,472458.0,335977.0,136468.0,13.0,1443105.0,54624.0,0.0,26406.0,10214.0,3958455.0,0.0,1129633.0,88014.0,12.834697,1853189.0,74705.0,24.80676,3524833.0,3528642.0,0.307146,37718.071575,52160.0,1298995.0,0.368105,85737.935046,7.37,57.94,0.0,0.0,5170999647.413412,397661018.4759985,5170997149.0,397661018.0,5568658168.0,19207.0,5153.753048,397.438691,41178.67,3332.0,58670.67,nan,nan,nan,nan,49158272.0,1918754133.2850308,769912.0,58367.88,8774099.0,71.752679,117.217192,239250.0,2.0,1927.0,12888279.0
bfs_imp_ipd2_l2_ddr4_2x,bfs,imp,stage1,ipd2,l2,ddr4_2x,0.022034,22034098512.0,30729211.0,31124590.0,66168464.0,0.464409,6935868.0,11405851.0,1346276.0,3529169.0,221566943589.0,31945.092321,90978248625.0,67577.709641,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1255627.0,266135.0,462189.0,0.211954,0.170654,474378.0,340961.0,133397.0,20.0,1423635.0,39797.0,0.0,19150.0,3075.0,3958413.0,0.0,794754.0,75127.0,10.578807,1155958.0,51843.0,22.297282,3406926.0,3528942.0,0.309398,30704.835691,52909.0,1293367.0,0.366479,68189.717017,3.6550000000000002,57.085,0.0,0.0,6025909702.077854,462332143.7204256,6025906798.0,462332143.0,6488238941.0,38414.0,5994.270014,461.318442,22338.345,3332.0,39830.345,nan,nan,nan,nan,49727296.0,2256833696.7776556,780250.0,37341.95,8774099.0,60.279502,98.761061,68955.0,2.0,1710.0,12781588.0
bfs_imp_ipd8_l1d_ddr4_1x,bfs,imp,stage1,ipd8,l1d,ddr4_1x,0.023393,23393219031.0,30729211.0,31124590.0,70249907.0,0.437428,6169647.0,11507814.0,2094566.0,5922664.0,249268319760.0,40402.363338,171096539095.0,81685.914454,4964319.0,312862.0,2227696.0,0.063022,0.090242,2195965.0,576162.0,1619316.0,487.0,15025477.0,1664030.0,0.0,1381706.0,544255.0,8673307.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5455296.0,768953.0,7.094447,0.0,0.0,nan,3015569.0,3154078.0,0.274081,36623.576383,nan,2094566.0,0.353653,81352.914454,6.75,57.54,0.0,0.0,5730390837.719165,436527182.79034865,5730388102.0,436527183.0,6166915285.0,19207.0,5707.978873,436.20709,36795.7,3332.0,54287.7,58005312.0,2479578031.6994033,909769.0,54142.61,nan,nan,nan,nan,8774099.0,65.047784,108.250066,165583.0,2.0,1844.0,12984811.0
bfs_imp_ipd8_l1d_ddr4_2x,bfs,imp,stage1,ipd8,l1d,ddr4_2x,0.020727,20726640279.0,30729211.0,31124590.0,62242163.0,0.493705,6022529.0,11419388.0,2121072.0,5950664.0,210033659102.0,34874.66131,136932670737.0,64558.23788,4956620.0,321255.0,2255403.0,0.064813,0.092565,2155515.0,573941.0,1581109.0,465.0,14545947.0,1541502.0,0.0,1314201.0,507210.0,8583785.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3709948.0,705662.0,5.257401,0.0,0.0,nan,2873203.0,3149326.0,0.275788,30709.928348,nan,2121072.0,0.356443,64225.23788,3.37,57.150000000000006,0.0,0.0,6549477878.358271,492947813.1751002,6549474790.0,492947813.0,7042422604.0,38414.0,6510.500408,491.64784399999996,19664.925,3332.0,37156.925,59661056.0,2878472111.104659,937653.0,35543.53,nan,nan,nan,nan,8774099.0,56.904085,94.276137,58621.0,2.0,1693.0,12845213.0
bfs_imp_ipd8_l2_ddr4_1x,bfs,imp,stage1,ipd8,l2,ddr4_1x,0.02562,25619891130.0,30729211.0,31124590.0,76936610.0,0.39941,7053475.0,11488481.0,1351155.0,3528869.0,272377382949.0,38616.055625,115056109476.0,85153.893873,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1243469.0,260786.0,458053.0,0.209725,0.167194,472458.0,335977.0,136468.0,13.0,1443105.0,54624.0,0.0,26406.0,10214.0,3958455.0,0.0,1129633.0,88014.0,12.834697,1853189.0,74705.0,24.80676,3524833.0,3528642.0,0.307146,37718.071575,52160.0,1298995.0,0.368105,85737.935046,7.37,57.94,0.0,0.0,5170999647.413412,397661018.4759985,5170997149.0,397661018.0,5568658168.0,19207.0,5153.753048,397.438691,41178.67,3332.0,58670.67,nan,nan,nan,nan,49158272.0,1918754133.2850308,769912.0,58367.88,8774099.0,71.752679,117.217192,239250.0,2.0,1927.0,12888279.0
bfs_imp_ipd8_l2_ddr4_2x,bfs,imp,stage1,ipd8,l2,ddr4_2x,0.022034,22034098512.0,30729211.0,31124590.0,66168464.0,0.464409,6935868.0,11405851.0,1346276.0,3529169.0,221566943589.0,31945.092321,90978248625.0,67577.709641,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1255627.0,266135.0,462189.0,0.211954,0.170654,474378.0,340961.0,133397.0,20.0,1423635.0,39797.0,0.0,19150.0,3075.0,3958413.0,0.0,794754.0,75127.0,10.578807,1155958.0,51843.0,22.297282,3406926.0,3528942.0,0.309398,30704.835691,52909.0,1293367.0,0.366479,68189.717017,3.6550000000000002,57.085,0.0,0.0,6025909702.077854,462332143.7204256,6025906798.0,462332143.0,6488238941.0,38414.0,5994.270014,461.318442,22338.345,3332.0,39830.345,nan,nan,nan,nan,49727296.0,2256833696.7776556,780250.0,37341.95,8774099.0,60.279502,98.761061,68955.0,2.0,1710.0,12781588.0
bfs_imp_pt32_l1d_ddr4_1x,bfs,imp,stage1,pt32,l1d,ddr4_1x,0.023393,23393219031.0,30729211.0,31124590.0,70249907.0,0.437428,6169647.0,11507814.0,2094566.0,5922664.0,249268319760.0,40402.363338,171096539095.0,81685.914454,4964319.0,312862.0,2227696.0,0.063022,0.090242,2195965.0,576162.0,1619316.0,487.0,15025477.0,1664030.0,0.0,1381706.0,544255.0,8673307.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5455296.0,768953.0,7.094447,0.0,0.0,nan,3015569.0,3154078.0,0.274081,36623.576383,nan,2094566.0,0.353653,81352.914454,6.75,57.54,0.0,0.0,5730390837.719165,436527182.79034865,5730388102.0,436527183.0,6166915285.0,19207.0,5707.978873,436.20709,36795.7,3332.0,54287.7,58005312.0,2479578031.6994033,909769.0,54142.61,nan,nan,nan,nan,8774099.0,65.047784,108.250066,165583.0,2.0,1844.0,12984811.0
bfs_imp_pt32_l1d_ddr4_2x,bfs,imp,stage1,pt32,l1d,ddr4_2x,0.020727,20726640279.0,30729211.0,31124590.0,62242163.0,0.493705,6022529.0,11419388.0,2121072.0,5950664.0,210033659102.0,34874.66131,136932670737.0,64558.23788,4956620.0,321255.0,2255403.0,0.064813,0.092565,2155515.0,573941.0,1581109.0,465.0,14545947.0,1541502.0,0.0,1314201.0,507210.0,8583785.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3709948.0,705662.0,5.257401,0.0,0.0,nan,2873203.0,3149326.0,0.275788,30709.928348,nan,2121072.0,0.356443,64225.23788,3.37,57.150000000000006,0.0,0.0,6549477878.358271,492947813.1751002,6549474790.0,492947813.0,7042422604.0,38414.0,6510.500408,491.64784399999996,19664.925,3332.0,37156.925,59661056.0,2878472111.104659,937653.0,35543.53,nan,nan,nan,nan,8774099.0,56.904085,94.276137,58621.0,2.0,1693.0,12845213.0
bfs_imp_pt32_l2_ddr4_1x,bfs,imp,stage1,pt32,l2,ddr4_1x,0.02562,25619891130.0,30729211.0,31124590.0,76936610.0,0.39941,7053475.0,11488481.0,1351155.0,3528869.0,272377382949.0,38616.055625,115056109476.0,85153.893873,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1243469.0,260786.0,458053.0,0.209725,0.167194,472458.0,335977.0,136468.0,13.0,1443105.0,54624.0,0.0,26406.0,10214.0,3958455.0,0.0,1129633.0,88014.0,12.834697,1853189.0,74705.0,24.80676,3524833.0,3528642.0,0.307146,37718.071575,52160.0,1298995.0,0.368105,85737.935046,7.37,57.94,0.0,0.0,5170999647.413412,397661018.4759985,5170997149.0,397661018.0,5568658168.0,19207.0,5153.753048,397.438691,41178.67,3332.0,58670.67,nan,nan,nan,nan,49158272.0,1918754133.2850308,769912.0,58367.88,8774099.0,71.752679,117.217192,239250.0,2.0,1927.0,12888279.0
bfs_imp_pt32_l2_ddr4_2x,bfs,imp,stage1,pt32,l2,ddr4_2x,0.022034,22034098512.0,30729211.0,31124590.0,66168464.0,0.464409,6935868.0,11405851.0,1346276.0,3529169.0,221566943589.0,31945.092321,90978248625.0,67577.709641,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1255627.0,266135.0,462189.0,0.211954,0.170654,474378.0,340961.0,133397.0,20.0,1423635.0,39797.0,0.0,19150.0,3075.0,3958413.0,0.0,794754.0,75127.0,10.578807,1155958.0,51843.0,22.297282,3406926.0,3528942.0,0.309398,30704.835691,52909.0,1293367.0,0.366479,68189.717017,3.6550000000000002,57.085,0.0,0.0,6025909702.077854,462332143.7204256,6025906798.0,462332143.0,6488238941.0,38414.0,5994.270014,461.318442,22338.345,3332.0,39830.345,nan,nan,nan,nan,49727296.0,2256833696.7776556,780250.0,37341.95,8774099.0,60.279502,98.761061,68955.0,2.0,1710.0,12781588.0
